Nom de la demande:farmManagement_1							
Pas de temps:Journalier							
Date de début:01/01/2013							
Date de fin:31/12/2013							
Station(s):31035002							
							
ETP:EVAPOTRANSPIRATION MESUREE (MILLIMETRES)							
RR:HAUTEUR DES PRECIPITATIONS (MILLIMETRES)							
TM:TEMPERATURE MOYENNE (DEGRES CELSIUS)							
PAR:RAYONNEMENT PAR (JOULES/CM2)							
							
NUM_POSTE	AN	MOIS	JOUR	ETP	RR	TM	PAR
31035002	2013	5	9		10.5	15.9	392.0
31035002	2013	5	10		0.0	12.9	710.0
31035002	2013	5	11		0.0	13.2	781.0
31035002	2013	5	12		0.0	13.2	624.0
31035002	2013	5	13		0.0	14.2	947.0
31035002	2013	5	14		2.0	14.8	1125.0
31035002	2013	5	15		13.5	10.3	276.0
31035002	2013	5	16		1.0	10.1	663.0
31035002	2013	5	17		0.5	11.9	1282.0
31035002	2013	5	18		2.0	12.5	822.0
31035002	2013	5	19		1.0	12.2	837.0
31035002	2013	5	20		0.0	12.7	984.0
31035002	2013	5	21		4.5	10.9	370.0
31035002	2013	5	22		2.0	13.3	385.0
31035002	2013	5	23		4.0	12.2	474.0
31035002	2013	5	24		7.5	9.9	823.0
31035002	2013	5	25		2.0	10.6	875.0
31035002	2013	5	26		0.0	11.6	1382.0
31035002	2013	5	27		0.0	13.2	1048.0
31035002	2013	5	28		10.0	11.4	500.0
31035002	2013	5	29		0.5	10.3	757.0
31035002	2013	5	30		36.0	11.4	503.0
31035002	2013	5	31		4.5	14.0	733.0
31035002	2013	6	1		5.0	15.2	685.0
31035002	2013	6	2		0.0	14.6	614.0
31035002	2013	6	3		0.0	16.1	1226.0
31035002	2013	6	4		0.0	15.2	969.0
31035002	2013	6	5		0.0	17.7	1391.0
31035002	2013	6	6		0.0	18.5	1389.0
31035002	2013	6	7		0.0	19.1	1197.0
31035002	2013	6	8		10.0	15.5	327.0
31035002	2013	6	9		12.0	14.5	513.0
31035002	2013	6	10		1.0	16.2	752.0
31035002	2013	6	11		0.0	17.9	1100.0
31035002	2013	6	12		0.0	21.4	1432.0
31035002	2013	6	13		2.5	16.8	340.0
31035002	2013	6	14		0.0	19.8	1334.0
31035002	2013	6	15		0.0	19.7	1027.0
31035002	2013	6	16		0.0	21.5	1413.0
31035002	2013	6	17		11.5	21.2	902.0
31035002	2013	6	18		14.0	18.5	565.0
31035002	2013	6	19		13.5	15.7	502.0
31035002	2013	6	20		0.0	16.2	1003.0
31035002	2013	6	21		2.0	15.4	639.0
31035002	2013	6	22		0.0	18.0	1106.0
31035002	2013	6	23		0.5	16.2	691.0
31035002	2013	6	24		0.0	14.9	783.0
31035002	2013	6	25		0.0	16.9	1007.0
31035002	2013	6	26		0.0	17.5	1395.0
31035002	2013	6	27		0.0	17.6	1255.0
31035002	2013	6	28		0.5	17.5	579.0
31035002	2013	6	29		0.0	18.0	608.0
31035002	2013	6	30		0.0	19.8	1202.0
31035002	2013	7	1		0.0	21.8	1313.0
31035002	2013	7	2		4.5	21.0	1225.0
31035002	2013	7	3		2.0	19.4	428.0
31035002	2013	7	4		0.0	19.2	1170.0
31035002	2013	7	5		0.0	22.1	1424.0
31035002	2013	7	6		0.0	24.0	1425.0
31035002	2013	7	7		0.0	24.3	1401.0
31035002	2013	7	8		0.0	25.6	1328.0
31035002	2013	7	9		0.0	25.8	1337.0
31035002	2013	7	10		0.0	23.7	804.0
31035002	2013	7	11		0.0	24.8	1168.0
31035002	2013	7	12		0.0	25.6	1257.0
31035002	2013	7	13		4.5	23.9	942.0
31035002	2013	7	14		0.0	22.4	630.0
31035002	2013	7	15		0.0	24.5	1270.0
31035002	2013	7	16		0.0	23.7	959.0
31035002	2013	7	17		0.5	23.0	1033.0
31035002	2013	7	18		0.0	22.7	949.0
31035002	2013	7	19		0.0	24.2	1245.0
31035002	2013	7	20		0.0	25.4	1233.0
31035002	2013	7	21		0.0	25.9	1231.0
31035002	2013	7	22		0.0	26.4	1291.0
31035002	2013	7	23		0.0	24.8	907.0
31035002	2013	7	24		0.0	25.2	1046.0
31035002	2013	7	25		0.0	27.5	1290.0
31035002	2013	7	26		0.0	27.2	1107.0
31035002	2013	7	27		0.5	27.0	1144.0
31035002	2013	7	28		8.5	22.7	816.0
31035002	2013	7	29		0.0	20.8	1135.0
31035002	2013	7	30		0.0	22.0	1302.0
31035002	2013	7	31		0.0	25.4	1327.0
31035002	2013	8	1		0.0	26.4	1292.0
31035002	2013	8	2		0.0	26.8	1200.0
31035002	2013	8	3		0.0	24.6	1127.0
31035002	2013	8	4		0.0	25.2	1250.0
31035002	2013	8	5		0.0	24.7	1041.0
31035002	2013	8	6		7.0	23.9	657.0
31035002	2013	8	7		26.5	19.3	555.0
31035002	2013	8	8		0.5	19.5	861.0
31035002	2013	8	9		0.0	20.9	913.0
31035002	2013	8	10		0.0	20.9	1115.0
31035002	2013	8	11		0.0	22.0	1261.0
31035002	2013	8	12		0.0	24.2	1206.0
31035002	2013	8	13		0.0	23.4	922.0
31035002	2013	8	14		0.0	21.4	1215.0
31035002	2013	8	15		0.0	21.3	1217.0
31035002	2013	8	16		2.0	23.3	1114.0
31035002	2013	8	17		0.0	22.2	1087.0
31035002	2013	8	18		0.0	23.0	1191.0
31035002	2013	8	19		0.0	20.1	352.0
31035002	2013	8	20		0.0	20.6	1188.0
31035002	2013	8	21		0.0	21.6	1181.0
31035002	2013	8	22		0.0	22.3	1141.0
31035002	2013	8	23		0.0	22.9	665.0
31035002	2013	8	24		0.0	20.6	439.0
31035002	2013	8	25		2.5	18.4	881.0
31035002	2013	8	26		0.0	19.4	795.0
31035002	2013	8	27		0.0	20.1	711.0
31035002	2013	8	28		0.0	20.0	939.0
31035002	2013	8	29		0.0	20.0	1047.0
31035002	2013	8	30		0.0	19.5	1001.0
31035002	2013	8	31		0.0	21.5	971.0
31035002	2013	9	1		0.0	21.4	1009.0
31035002	2013	9	2		0.0	19.8	992.0
31035002	2013	9	3		0.0	21.0	1075.0
31035002	2013	9	4		0.0	22.3	1062.0
31035002	2013	9	5		0.0	23.6	1032.0
31035002	2013	9	6		8.5	21.7	568.0
31035002	2013	9	7		8.5	17.1	120.0
31035002	2013	9	8		0.5	16.6	297.0
31035002	2013	9	9		3.0	17.9	949.0
31035002	2013	9	10		2.0	17.6	473.0
31035002	2013	9	11		0.0	16.3	689.0
31035002	2013	9	12		0.0	17.2	653.0
31035002	2013	9	13		0.0	18.4	685.0
31035002	2013	9	14		4.5	19.3	883.0
31035002	2013	9	15		0.0	14.8	667.0
31035002	2013	9	16		0.5	15.2	560.0
31035002	2013	9	17		0.0	16.1	347.0
31035002	2013	9	18		3.0	18.3	558.0
31035002	2013	9	19		0.5	16.8	568.0
31035002	2013	9	20		0.0	18.0	576.0
31035002	2013	9	21		0.0	16.9	856.0
31035002	2013	9	22		0.0	18.1	903.0
31035002	2013	9	23		0.0	19.1	892.0
31035002	2013	9	24		0.0	21.1	858.0
31035002	2013	9	25		0.0	21.1	795.0
31035002	2013	9	26		0.0	21.8	758.0
31035002	2013	9	27		0.0	22.2	610.0
