Nom de la demande:Toulouse_2010-2013
Pas de temps:Journalier
Date de début:01/01/2010
Date de fin:31/12/2013
Série:31035001

ETPP:EVAPOTRANSPIRATION PENMAN (MILLIMETRES)
RG:RAYONNEMENT GLOBAL (JOULES/CM2)
RR:HAUTEUR DES PRECIPITATIONS (MILLIMETRES)
TM:TEMPERATURE MOYENNE (DEGRES CELSIUS)
TN:TEMPERATURE MINIMALE (DEGRES CELSIUS)
TX:TEMPERATURE MAXIMALE (DEGRES CELSIUS)

NUM_POSTE;AN;MOIS;JOUR;ETPP;RG;RR;TM;TN;TX;
31035002;2010;3;25;3.2;1310;6.5;13.8;11.5;17.0;
31035002;2010;3;26;3.2;2076;0.0;12.7;8.6;18.4;
31035002;2010;3;27;2.1;927;0.5;11.2;6.3;14.5;
31035002;2010;3;28;2.6;1843;0.0;13.2;8.0;18.1;
31035002;2010;3;29;3.4;1942;2.5;12.7;7.9;18.0;
31035002;2010;3;30;2.2;1223;3.5;10.1;6.3;13.6;
31035002;2010;3;31;3.2;1759;5.0;10.7;8.2;15.6;
31035002;2010;4;1;2.4;1651;0.0;8.5;4.0;13.0;
31035002;2010;4;2;3.0;2092;0.5;10.6;2.8;18.8;
31035002;2010;4;3;2.1;944;4.0;11.0;7.2;15.4;
31035002;2010;4;4;2.3;1336;7.0;8.8;7.2;12.5;
31035002;2010;4;5;2.6;2242;0.5;9.2;1.7;15.4;
31035002;2010;4;6;3.4;1980;0.0;11.0;3.4;17.0;
31035002;2010;4;7;0.9;321;2.0;10.7;9.5;12.2;
31035002;2010;4;8;2.8;1410;0.0;10.8;8.1;15.2;
31035002;2010;4;9;3.2;2275;0.0;12.7;7.0;19.3;
31035002;2010;4;10;3.3;2372;0.0;13.7;4.5;21.5;
31035002;2010;4;11;3.5;2182;0.0;14.0;7.4;19.4;
31035002;2010;4;12;2.7;1410;0.0;10.2;6.0;15.9;
31035002;2010;4;13;2.9;2255;0.0;8.8;0.8;15.6;
31035002;2010;4;14;3.1;2388;0.0;9.7;1.5;17.1;
31035002;2010;4;15;2.8;1887;0.0;11.1;1.0;19.5;
31035002;2010;4;16;3.2;2406;0.0;11.2;2.5;18.2;
31035002;2010;4;17;4.0;2507;0.0;12.8;2.5;21.4;
31035002;2010;4;18;3.8;2479;0.0;13.1;4.0;20.7;
31035002;2010;4;19;3.5;2143;0.0;14.4;5.9;22.7;
31035002;2010;4;20;3.9;2535;0.5;14.9;6.8;22.0;
31035002;2010;4;21;3.9;2421;0.0;16.8;6.8;25.3;
31035002;2010;4;22;3.6;1767;0.0;15.8;10.9;20.7;
31035002;2010;4;23;1.5;527;0.0;14.8;13.5;17.0;
31035002;2010;4;24;2.8;1352;0.0;15.3;12.6;21.8;
31035002;2010;4;25;3.7;2255;0.0;17.0;7.1;24.2;
31035002;2010;4;26;4.1;2153;0.0;17.5;12.9;23.7;
31035002;2010;4;27;4.4;2698;0.0;16.4;6.3;25.4;
31035002;2010;4;28;5.1;2721;0.0;17.8;6.5;26.8;
31035002;2010;4;29;5.4;2286;7.0;18.2;14.5;23.9;
31035002;2010;4;30;2.0;908;9.5;16.0;13.2;19.3;
31035002;2010;5;1;1.1;539;17.5;14.0;12.9;15.9;
31035002;2010;5;2;2.5;1283;1.5;12.6;10.6;15.6;
31035002;2010;5;3;2.4;981;5.5;10.9;8.9;14.2;
31035002;2010;5;4;0.6;261;46.0;5.5;4.0;6.9;
31035002;2010;5;5;0.4;289;14.5;5.8;3.2;7.2;
31035002;2010;5;6;1.3;741;0.0;8.0;3.2;11.3;
31035002;2010;5;7;3.6;2635;0.0;11.1;3.1;17.2;
31035002;2010;5;8;3.6;2157;1.5;13.8;8.5;20.7;
31035002;2010;5;9;2.8;1279;2.0;15.0;12.1;20.2;
31035002;2010;5;10;4.2;2513;10.5;15.4;9.4;22.2;
31035002;2010;5;11;4.0;2302;1.0;15.1;10.2;20.1;
31035002;2010;5;12;2.6;1316;10.5;12.7;10.6;17.4;
31035002;2010;5;13;2.0;1005;2.5;9.9;8.9;12.3;
31035002;2010;5;14;2.8;1505;0.0;10.5;6.4;14.7;
31035002;2010;5;15;3.7;1770;0.5;11.7;8.2;16.1;
31035002;2010;5;16;3.7;1820;0.0;12.1;8.8;16.5;
31035002;2010;5;17;3.8;1845;0.0;13.7;9.6;18.8;
31035002;2010;5;18;5.1;2855;0.0;15.4;9.0;20.7;
31035002;2010;5;19;4.9;2022;0.5;15.6;11.7;20.9;
31035002;2010;5;20;5.6;2933;0.0;17.1;10.6;22.9;
31035002;2010;5;21;5.2;2940;0.0;18.8;9.4;26.1;
31035002;2010;5;22;5.4;2973;0.0;19.7;10.9;26.8;
31035002;2010;5;23;5.5;2749;0.0;19.9;11.8;26.9;
31035002;2010;5;24;6.1;3041;0.0;20.3;10.1;28.6;
31035002;2010;5;25;6.1;2758;0.5;20.6;12.6;28.4;
31035002;2010;5;26;4.4;1995;2.5;19.1;13.2;25.4;
31035002;2010;5;27;3.6;1776;0.5;17.9;13.0;22.8;
31035002;2010;5;28;2.2;826;0.0;16.2;14.0;18.8;
31035002;2010;5;29;4.6;2251;0.0;17.6;12.9;21.8;
31035002;2010;5;30;3.7;1387;0.5;18.6;16.8;21.2;
31035002;2010;5;31;4.3;1447;0.0;19.1;15.6;23.6;
31035002;2010;6;1;3.5;1408;0.5;17.8;15.2;21.5;
31035002;2010;6;2;5.3;2245;0.0;18.5;15.6;23.7;
31035002;2010;6;3;5.6;3014;0.0;19.7;10.8;26.2;
31035002;2010;6;4;6.1;2965;0.0;22.5;14.7;28.4;
31035002;2010;6;5;6.3;2914;3.0;23.4;16.4;31.0;
31035002;2010;6;6;1.6;581;4.0;17.4;16.5;19.6;
31035002;2010;6;7;5.0;2608;0.0;20.2;13.9;26.7;
31035002;2010;6;8;1.5;624;9.5;18.0;15.5;21.0;
31035002;2010;6;9;2.1;760;4.0;18.9;16.2;22.3;
31035002;2010;6;10;7.7;2855;0.0;22.4;18.9;29.3;
31035002;2010;6;11;3.7;1624;26.5;17.4;14.2;25.9;
31035002;2010;6;12;4.4;2369;0.0;18.4;11.2;25.4;
31035002;2010;6;13;3.8;1595;4.5;18.9;15.9;25.1;
31035002;2010;6;14;0.9;379;15.5;14.3;13.5;15.6;
31035002;2010;6;15;2.6;1252;0.0;15.2;11.4;19.2;
31035002;2010;6;16;3.3;1517;39.0;15.7;12.7;23.1;
31035002;2010;6;17;3.6;2012;0.0;15.9;11.2;20.5;
31035002;2010;6;18;2.6;1095;2.0;16.5;13.6;21.0;
31035002;2010;6;19;1.6;550;29.0;15.1;14.8;17.4;
31035002;2010;6;20;4.2;1916;0.5;13.6;10.4;17.3;
31035002;2010;6;21;4.5;2120;0.0;15.2;10.9;19.6;
31035002;2010;6;22;5.3;3096;0.0;17.1;8.7;22.6;
31035002;2010;6;23;5.5;3085;0.0;18.9;10.2;25.9;
31035002;2010;6;24;5.6;3017;0.0;20.7;10.8;28.9;
31035002;2010;6;25;5.8;3030;0.0;22.4;12.2;30.8;
